date;num0;num1;num2;num3;num4
11/10/2023;10;16;15;6;24
09/10/2023;9;16;32;30;23
07/10/2023;5;12;42;9;26
04/10/2023;26;21;40;27;31
02/10/2023;6;40;17;15;3
30/09/2023;33;48;25;23;41
27/09/2023;44;14;30;25;17
25/09/2023;4;13;27;46;21
23/09/2023;26;28;40;37;6
20/09/2023;48;19;37;16;29
18/09/2023;5;30;40;35;17
16/09/2023;42;43;32;40;15
13/09/2023;11;27;30;48;49
11/09/2023;31;44;40;13;28
09/09/2023;15;7;3;42;4
06/09/2023;47;30;15;33;4
04/09/2023;27;13;2;11;36
02/09/2023;10;33;47;1;7
30/08/2023;46;31;20;45;39
28/08/2023;9;35;23;37;28
26/08/2023;15;14;21;34;45
23/08/2023;46;29;25;8;34
21/08/2023;3;17;4;36;22
19/08/2023;27;8;32;11;4
16/08/2023;24;41;19;35;27
14/08/2023;44;13;3;27;49
12/08/2023;9;20;44;1;39
09/08/2023;6;31;45;14;3
07/08/2023;11;1;15;48;47
05/08/2023;40;42;2;7;10
02/08/2023;18;12;32;9;23
31/07/2023;1;47;22;33;4
29/07/2023;1;49;29;18;37
26/07/2023;17;49;18;28;11
24/07/2023;12;1;31;45;17
22/07/2023;37;33;42;36;31
19/07/2023;35;5;39;19;11
17/07/2023;47;6;20;9;41
15/07/2023;7;32;42;45;12
12/07/2023;31;18;34;27;26
10/07/2023;14;3;10;44;8
08/07/2023;6;19;48;32;10
05/07/2023;22;8;19;7;15
03/07/2023;42;23;2;8;35
01/07/2023;24;7;18;15;9
28/06/2023;49;34;36;12;42
26/06/2023;14;21;48;16;26
24/06/2023;30;40;3;21;2
21/06/2023;20;35;27;19;12
19/06/2023;39;42;38;29;49
17/06/2023;28;43;29;38;44
14/06/2023;14;9;16;12;33
12/06/2023;12;26;28;19;21
10/06/2023;28;16;11;32;49
07/06/2023;41;28;3;4;23
05/06/2023;3;46;25;10;13
03/06/2023;46;44;37;2;39
31/05/2023;43;9;40;28;13
29/05/2023;12;38;28;24;36
27/05/2023;25;24;31;34;9
24/05/2023;20;11;36;17;28
22/05/2023;43;33;42;22;37
20/05/2023;25;18;3;8;37
17/05/2023;8;2;11;47;40
15/05/2023;12;9;48;7;29
13/05/2023;43;6;25;34;9
10/05/2023;45;12;44;15;9
08/05/2023;43;47;16;39;4
06/05/2023;47;25;42;2;30
03/05/2023;17;23;13;20;45
01/05/2023;15;41;33;44;5
29/04/2023;40;48;36;22;3
26/04/2023;3;18;24;11;14
24/04/2023;41;23;25;1;49
22/04/2023;12;26;48;13;35
19/04/2023;43;41;5;46;34
17/04/2023;3;18;42;13;43
15/04/2023;32;17;15;19;29
12/04/2023;18;26;10;30;15
10/04/2023;45;24;15;10;49
08/04/2023;19;35;48;3;42
05/04/2023;31;33;16;29;39
03/04/2023;49;15;39;31;46
01/04/2023;44;48;17;12;35
29/03/2023;34;1;32;14;11
27/03/2023;1;11;23;41;34
25/03/2023;3;34;29;7;11
22/03/2023;24;38;33;12;20
20/03/2023;38;19;10;26;7
18/03/2023;7;31;8;48;32
15/03/2023;37;20;15;5;17
13/03/2023;47;45;35;42;19
11/03/2023;6;34;14;33;18
08/03/2023;10;7;46;16;35
06/03/2023;24;38;41;18;5
04/03/2023;42;40;35;25;12
01/03/2023;18;39;45;14;21
27/02/2023;5;37;14;6;2
25/02/2023;34;19;3;1;43
22/02/2023;37;35;3;24;31
20/02/2023;35;43;41;22;16
18/02/2023;12;24;1;13;5
15/02/2023;20;24;5;44;28
13/02/2023;20;8;33;27;35
